,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
187,Nolan Pedota,SO-2,East Tenn. St.,05:17.3,26:17.6,161,LIVE IN LOU
188,John Duvall,SO-2,Marshall,05:17.4,26:18.1,162,LIVE IN LOU
189,Ashton Beverly,SO-2,Rio Grande,05:17.5,26:18.7,163,LIVE IN LOU
190,Bradley Ahrens,JR-3,Eastern Illinois,05:17.7,26:19.2,,LIVE IN LOU
191,Tristan Gould,SO-2,Chattanooga,05:17.7,26:19.6,164,LIVE IN LOU
192,Jimmy Dillabaugh,SO-2,Bellarmine,05:17.9,26:20.3,,LIVE IN LOU
193,Matthew Dunsworth,SO-2,Arkansas State,05:18.0,26:20.7,,LIVE IN LOU
194,Christian Collis,SR-4,Oakland,05:18.0,26:20.9,,LIVE IN LOU
195,Nick Frye,SO-2,Mercer,05:18.1,26:21.3,165,LIVE IN LOU
196,Miquel Fons,FR-1,Flagler,05:18.2,26:21.7,,LIVE IN LOU
197,Ryder Crawford,FR-1,Rio Grande,05:18.3,26:22.5,166,LIVE IN LOU
198,Tyler Hayes,JR-3,Charleston (W.V.),05:18.5,26:23.3,167,LIVE IN LOU
199,Joseph Merrill,SO-2,Cedarville,05:18.9,26:25.1,,LIVE IN LOU
200,Ethan Black,SR-4,Eastern Illinois,05:18.9,26:25.6,,LIVE IN LOU
201,Ian Etheridge,FR-1,Chattanooga,05:19.1,26:26.6,,LIVE IN LOU
202,Seth Davis,SR-4,Ohio,05:19.6,26:29.0,,LIVE IN LOU
203,Connor Darnell,FR-1,Shawnee State,05:19.8,26:29.6,168,LIVE IN LOU
204,Tyler Brothers,FR-1,Wayne State (Mich.),05:19.9,26:30.5,169,LIVE IN LOU
205,Mugisha Pomossene,JR-3,Rio Grande,05:19.9,26:30.5,,LIVE IN LOU
206,Peyton Millwood,JR-3,Mercer,05:20.0,26:30.7,170,LIVE IN LOU
207,Payton Domagalski,JR-3,Olivet Nazarene,05:20.0,26:31.1,,LIVE IN LOU
208,Noah Osmond,SO-2,Northern Colorado,05:20.1,26:31.1,171,LIVE IN LOU
209,Ryan Burchett,JR-3,Bellarmine,05:20.2,26:31.9,,LIVE IN LOU
210,Colin Everett,FR-1,East Tenn. St.,05:20.3,26:32.5,172,LIVE IN LOU
