,,,,,,,
PL,NAME,YEAR,TEAM,Avg. Mile,TIME,SCORE,
94,Alexander Shepherd,SR-4,Kenyon,05:36.8,27:54.2,80,OWU invite
95,William Wilson,SR-4,Kenyon,05:37.5,27:58.0,81,OWU invite
96,Leo Wisnefski,SO-2,Denison,05:37.7,27:58.7,82,OWU invite
97,Sam Derstine,SO-2,Findlay,05:37.7,27:58.8,83,OWU invite
98,Isaak Keller,FR-1,Baldwin Wallace,05:38.2,28:01.5,,OWU invite
99,Will Larson,FR-1,Case Western,05:38.2,28:01.5,,OWU invite
100,Preston Pethtel,SR-4,Ohio Wesleyan,05:38.4,28:02.3,84,OWU invite
101,Brendan Krych,,Ohio State Running Club,05:38.6,28:03.3,,OWU invite
102,Cole Kropka,SR-4,Bluffton,05:38.6,28:03.6,85,OWU invite
103,Daron Porter,FR-1,Mount Vernon Nazarene,05:38.9,28:05.0,86,OWU invite
104,Henry Hildebrandt,FR-1,Wilmington (Ohio),05:39.1,28:05.8,87,OWU invite
105,Ty Huff,FR-1,Heidelberg,05:39.3,28:06.6,88,OWU invite
106,Nick Swartz,FR-1,Baldwin Wallace,05:39.3,28:06.7,,OWU invite
107,Owen Rair,SO-2,Mount Vernon Nazarene,05:39.4,28:07.5,89,OWU invite
108,Christian Orgel,FR-1,Baldwin Wallace,05:39.9,28:09.8,,OWU invite
109,Grant Hirsch,FR-1,Oberlin,05:40.0,28:10.2,90,OWU invite
110,Benjamin Smith,SO-2,Case Western,05:40.0,28:10.3,,OWU invite
111,David Kuik,FR-1,Rio Grande,05:40.2,28:11.5,91,OWU invite
112,Jordan Klein,,Ohio State Running Club,05:40.4,28:12.5,,OWU invite
113,Dustyn DeFoor,FR-1,Ohio Northern,05:41.0,28:15.2,,OWU invite
114,William Freeman,JR-3,Ohio Northern,05:41.0,28:15.4,,OWU invite
115,Garrett Carver,JR-3,Shawnee State,05:41.1,28:15.6,92,OWU invite
116,William Allain,SR-4,Denison,05:41.2,28:16.3,93,OWU invite
117,Stephen Faltay,SO-2,Baldwin Wallace,05:41.3,28:16.6,,OWU invite
118,Josh Fiorentino,SR-4,Heidelberg,05:41.4,28:17.5,94,OWU invite
119,Victor Nash,SR-4,Case Western,05:41.6,28:18.1,,OWU invite
120,Trenton Macura,SO-2,Baldwin Wallace,05:41.7,28:18.9,,OWU invite
121,Gabe McHolm,FR-1,Ashland,05:42.0,28:20.3,,OWU invite
122,Logan Smrek,,Ohio State Running Club,05:42.5,28:22.7,,OWU invite
123,Justin Pate,SR-4,Ohio Northern,05:42.7,28:23.7,,OWU invite
124,Zayden Taylor,JR-3,Wittenberg,05:43.1,28:25.5,,OWU invite
125,Simon Leck,SR-4,Ohio Wesleyan,05:43.3,28:26.5,95,OWU invite
126,Gabe Ghering,SO-2,Baldwin Wallace,05:43.3,28:26.8,,OWU invite
127,Drew Carpenter,SO-2,Denison,05:44.0,28:30.1,,OWU invite
128,Dudley Bravard,FR-1,Ohio Northern,05:44.1,28:30.5,,OWU invite
129,Isaac Schoen,SR-4,Ohio Northern,05:44.1,28:30.8,,OWU invite
130,Braeden Horn,SR-4,Bluffton,05:44.3,28:31.8,96,OWU invite
131,Blake Murgatroyd,FR-1,Ohio Dominican,05:44.5,28:32.5,97,OWU invite
132,Jarrod Roudebush,JR-3,Bluffton,05:44.6,28:33.4,98,OWU invite
133,Aaron McNutt,SO-2,Capital,05:44.9,28:34.5,99,OWU invite
134,Arjun Thilairajah,SR-4,Case Western,05:44.9,28:34.7,,OWU invite
135,Brendan Bradish,FR-1,Case Western,05:45.1,28:35.5,,OWU invite
136,Nathan Jimenez,SR-4,Heidelberg,05:45.4,28:37.1,100,OWU invite
137,Jakob Hammond,SO-2,Ohio Northern,05:45.7,28:38.4,,OWU invite
138,Jerry Achtermann,SR-4,Oberlin,05:45.7,28:38.8,101,OWU invite
139,Cole Clodgo,SO-2,Denison,05:45.9,28:39.6,,OWU invite
140,Gavin Kelly,JR-3,Otterbein,05:46.2,28:40.9,,OWU invite
141,Praveen Sureshkumar,SO-2,Case Western,05:46.4,28:42.1,,OWU invite
142,Connor Neumeyer,,Ohio State Running Club,05:46.5,28:42.4,,OWU invite
143,Nathan Ogilbee,FR-1,Ohio Northern,05:47.1,28:45.8,,OWU invite
144,George Wood-Lenses,FR-1,Case Western,05:47.3,28:46.4,,OWU invite
145,Patrick Sharp,JR-3,Allegheny,05:47.4,28:47.2,102,OWU invite
146,Turner Markko,SO-2,Findlay,05:47.7,28:48.7,103,OWU invite
147,Adam Hellman,SR-4,Ohio Northern,05:47.8,28:49.3,,OWU invite
148,Donovan Brown,SR-4,Ohio Northern,05:48.0,28:50.0,,OWU invite
149,Alec Spangler,JR-3,Otterbein,05:48.3,28:51.8,,OWU invite
150,Seth Zimmerman,FR-1,Hiram,05:48.3,28:51.8,104,OWU invite
151,Jackson Adams,FR-1,Kenyon,05:48.6,28:53.2,105,OWU invite
152,Jacob Naumovski,SO-2,Shawnee State,05:48.9,28:54.6,106,OWU invite
153,Hunter Mowery,JR-3,Ohio Northern,05:49.2,28:56.3,,OWU invite
154,Edward Devaney,JR-3,Ohio Dominican,05:49.4,28:57.0,107,OWU invite
155,Jimmy Baker,JR-3,Kenyon,05:49.8,28:59.0,108,OWU invite
156,Nicholas Kiplinger,SO-2,Ohio Northern,05:49.8,28:59.2,,OWU invite
157,Adam Joseph,FR-1,Case Western,05:50.0,29:00.1,,OWU invite
158,Alex Hayden,JR-3,Mount Vernon Nazarene,05:50.6,29:02.8,109,OWU invite
159,Adam Criser,SO-2,Findlay,05:51.2,29:05.8,110,OWU invite
160,Luke Butler,SO-2,Shawnee State,05:51.4,29:06.7,111,OWU invite
161,Kort Sutherland,JR-3,Ohio Northern,05:51.5,29:07.3,,OWU invite
162,Theo Hordon,SO-2,Kenyon,05:51.6,29:08.0,112,OWU invite
163,Elijah Van Farowe,JR-3,Denison,05:51.6,29:08.0,,OWU invite
164,Brannon Moser,FR-1,Otterbein,05:51.8,29:08.8,,OWU invite
165,Liam Hogan,SO-2,Oberlin,05:51.8,29:08.8,,OWU invite
166,Miles Heyse,JR-3,Baldwin Wallace,05:52.7,29:13.3,,OWU invite
167,Danny Becker,JR-3,Case Western,05:53.1,29:15.2,,OWU invite
168,Andrew Woodruff,FR-1,Ohio Northern,05:53.5,29:17.6,,OWU invite
169,Adam Sinzinger,FR-1,Ohio Wesleyan,05:53.8,29:19.0,113,OWU invite
170,Henry Barnes,FR-1,Otterbein,05:53.9,29:19.5,,OWU invite
171,Dylan Doran,SO-2,Ashland,05:54.4,29:21.7,,OWU invite
172,David Seymour,JR-3,Baldwin Wallace,05:54.6,29:23.0,,OWU invite
173,William Michael,SO-2,Ohio Dominican,05:55.0,29:24.8,114,OWU invite
174,Zach Wyse,SR-4,Allegheny,05:55.6,29:27.8,115,OWU invite
175,Andrew Gall,FR-1,Ashland,05:55.8,29:28.7,,OWU invite
176,Haden Kirkham,SO-2,Ohio Wesleyan,05:55.9,29:29.1,,OWU invite
177,Carter Black,FR-1,Ohio Northern,05:56.4,29:32.0,,OWU invite
178,Jacob Bockenstette,,Ohio State Running Club,05:57.1,29:35.1,,OWU invite
179,Tyler Tang,JR-3,Ohio Wesleyan,05:57.3,29:36.1,,OWU invite
180,Justin Cederbloom,,Ohio State Running Club,05:57.7,29:38.2,,OWU invite
181,Mason Summers,SO-2,Mount Vernon Nazarene,05:57.8,29:38.6,116,OWU invite
182,Jackson VandeVelde,FR-1,Ohio Northern,05:57.9,29:39.4,,OWU invite
183,Simon Rohwer,FR-1,Mount Vernon Nazarene,05:58.3,29:41.4,117,OWU invite
184,Caleb Hines,FR-1,Rio Grande,05:58.4,29:42.0,118,OWU invite
185,Maxx Adams,FR-1,Ashland,05:58.5,29:42.1,,OWU invite
186,Ethan Wilkie,FR-1,Ohio Northern,05:58.5,29:42.4,,OWU invite
187,Tyler Bond,SO-2,Ohio Northern,05:58.7,29:43.2,,OWU invite
188,Angel Zeferino,SO-2,Case Western,05:59.5,29:47.4,,OWU invite
189,Malachi Shugert,JR-3,Shawnee State,05:59.7,29:48.3,119,OWU invite
190,Aaron Lewis,SO-2,Baldwin Wallace,06:00.1,29:50.4,,OWU invite
191,Grant Beasley,SO-2,Bluffton,06:00.5,29:52.1,120,OWU invite
192,Niko Moore,FR-1,Allegheny,06:00.6,29:52.8,121,OWU invite
193,Eric Barber,SO-2,Heidelberg,06:01.1,29:55.3,,OWU invite
194,Eli Stoddard,FR-1,Case Western,06:01.5,29:57.2,,OWU invite
195,Asu Pelima,FR-1,Ohio Northern,06:01.7,29:58.4,,OWU invite
196,Evan Radecki,SR-4,Otterbein,06:01.8,29:58.7,,OWU invite
197,Keegan Kidd,FR-1,Wilmington (Ohio),06:01.9,29:59.2,122,OWU invite
198,Aiden Mahony,SO-2,Capital,06:03.2,30:05.5,123,OWU invite
199,Ethan Moore,,Ohio State Running Club,06:03.2,30:05.8,,OWU invite
200,Walker Pannell,FR-1,Shawnee State,06:03.9,30:09.3,124,OWU invite
201,Jacob Lader,,Ohio State Running Club,06:05.1,30:15.0,,OWU invite
202,Jared Flowers,JR-3,Shawnee State,06:05.4,30:16.8,125,OWU invite
203,Michael Muzychenko,,Ohio State Running Club,06:07.4,30:26.3,,OWU invite
204,Carson Elchert,FR-1,Heidelberg,06:08.9,30:34.2,,OWU invite
205,Samuel Rabieh,SR-4,Kenyon,06:11.3,30:46.0,126,OWU invite
206,Griffin Boyer,SO-2,Baldwin Wallace,06:11.6,30:47.4,,OWU invite
207,Trevor Ike,,Ohio State Running Club,06:11.8,30:48.6,,OWU invite
208,Tanner Markley,FR-1,Hiram,06:12.1,30:50.0,127,OWU invite
209,Cameron Carr,,UNA-Ashland,06:12.5,30:51.8,,OWU invite
210,Johnny Gunther,FR-1,Ashland,06:12.6,30:52.4,,OWU invite
211,Elijah Routh,,Ohio State Running Club,06:13.5,30:56.9,,OWU invite
212,Colby Sprague,FR-1,Ohio Wesleyan,06:13.8,30:58.3,,OWU invite
213,Nathaniel Hahn,FR-1,Case Western,06:14.8,31:03.5,,OWU invite
214,Cayden Jones,FR-1,Hiram,06:15.6,31:07.1,128,OWU invite
215,Andrew Rouser,SO-2,Capital,06:16.7,31:12.7,129,OWU invite
216,Gavin Ross,SO-2,Baldwin Wallace,06:17.5,31:16.5,,OWU invite
217,Jordan Croy,FR-1,Bluffton,06:19.2,31:25.4,130,OWU invite
218,Kaden McWatters,FR-1,Bluffton,06:19.2,31:25.4,131,OWU invite
219,Bryson Robinette,SO-2,Wilmington (Ohio),06:20.8,31:33.1,132,OWU invite
220,Bryce Hensley,SO-2,Wilmington (Ohio),06:21.3,31:35.4,133,OWU invite
221,Chance Russell,FR-1,Baldwin Wallace,06:24.6,31:52.0,,OWU invite
222,Taylor Insyxiengmay,JR-3,Wittenberg,06:26.5,32:01.3,,OWU invite
223,Dominic Capocciama,FR-1,Wilmington (Ohio),06:31.0,32:23.8,,OWU invite
224,Nate Taylor,Sophomore,Rio Grande,06:32.2,32:29.8,134,OWU invite
225,Cameron Chatfield,SO-2,Wilmington (Ohio),06:33.2,32:35.0,,OWU invite
226,Ian Chapman,SO-2,Otterbein,06:33.8,32:37.6,,OWU invite
227,Tatum Paglia,FR-1,Wittenberg,06:34.2,32:39.8,,OWU invite
228,Joseph Rivello,FR-1,Case Western,06:36.5,32:51.1,,OWU invite
229,William Fiorentino,,Ohio State Running Club,06:47.9,33:47.9,,OWU invite
230,Rayan Zaidi,SO-2,Lorain County CC,06:48.1,33:48.8,,OWU invite
231,Brady Hurst,FR-1,Lorain County CC,06:50.9,34:02.9,,OWU invite
232,Aiden Jefferson,Freshman,Kent State-Trumbull,06:54.6,34:21.2,,OWU invite
233,Calijhawon Davis,,Wilberforce,06:57.7,34:36.7,135,OWU invite
234,Owen Thornsbury,FR-1,Lorain County CC,06:58.0,34:38.2,,OWU invite
235,Blake Spurlock,Senior,Kent State-Trumbull,06:59.2,34:44.1,,OWU invite
236,Connor Green,FR-1,Hiram,07:00.2,34:49.2,136,OWU invite
237,Braylon Miller,SO-2,Lorain County CC,07:02.8,35:01.9,,OWU invite
238,Gabe Weiford,FR-1,Hiram,07:05.9,35:17.4,137,OWU invite
239,Aiden Smith,FR-1,Capital,07:11.0,35:42.9,,OWU invite
240,Wyatt Webb,FR-1,Rio Grande,07:21.9,36:36.8,138,OWU invite
241,Josiah Mobley,,Wilberforce,07:23.1,36:42.8,139,OWU invite
242,Jamir Hymes,,Wilberforce,07:23.8,36:46.4,140,OWU invite
243,Jules Blot-Claudic,,Ohio State Running Club,07:31.2,37:23.0,,OWU invite
244,Christopher Warner,,Wilberforce,08:40.8,43:09.4,141,OWU invite
245,Preston Steele,,Wilberforce,08:41.1,43:10.8,142,OWU invite
246,Jersse Oliverson,,Wilberforce,08:57.7,44:33.4,143,OWU invite
